iter	Logloss
0	0.6754636087
1	0.6580029931
2	0.6422580697
3	0.626693072
4	0.6144616224
5	0.6042750784
6	0.5956949293
7	0.5862830309
8	0.5773244401
9	0.5661771617
10	0.5560333403
11	0.5459279477
12	0.5375885999
13	0.5295602503
14	0.5233475424
15	0.5171755241
16	0.5117884754
17	0.5050700169
18	0.499685561
19	0.495184069
20	0.4899806021
21	0.4859066029
22	0.4807600973
23	0.4759777571
24	0.4723948425
25	0.4688793924
26	0.4665870622
27	0.4640072845
28	0.4607786846
29	0.4579334585
30	0.455051827
31	0.4530301496
32	0.4502509142
33	0.4474287933
34	0.4455336352
35	0.4438783073
36	0.4423523673
37	0.440428527
38	0.4383434235
39	0.4363438926
40	0.4348476909
41	0.4324697404
42	0.4310261501
43	0.4286096294
44	0.4274908099
45	0.4265342816
46	0.4251250609
47	0.4234617168
48	0.4221540128
49	0.420837696
50	0.4190861131
51	0.4182875691
52	0.4166724332
53	0.4154626437
54	0.4146559201
55	0.4134880154
56	0.4121751599
57	0.4111720261
58	0.4099263662
59	0.4089590624
60	0.4082031406
61	0.4071220124
62	0.4065730514
63	0.4057853509
64	0.4047904265
65	0.4034820083
66	0.4026678936
67	0.4020391391
68	0.4010574437
69	0.4003764805
70	0.3997594012
71	0.3988752719
72	0.3982897468
73	0.3975048854
74	0.3970700856
75	0.396429715
76	0.3954941849
77	0.3948879042
78	0.3943444808
79	0.3936359987
80	0.3931259197
81	0.3925626821
82	0.3919149274
83	0.3915430525
84	0.3910129806
85	0.3904236227
86	0.3900297184
87	0.3894745305
88	0.3888259589
89	0.3885366464
90	0.3880720438
91	0.3877684158
92	0.3871062902
93	0.3865007352
94	0.3863073185
95	0.385954466
96	0.3854885304
97	0.3849877448
98	0.3845930227
99	0.3841877519
100	0.3836814321
101	0.3834175094
102	0.3832307254
103	0.3829184041
104	0.3824507406
105	0.3820809114
106	0.3816944796
107	0.3814833675
108	0.3811500596
109	0.3808738331
110	0.3804748616
111	0.3801503082
112	0.379801685
113	0.3794699286
114	0.3790780525
115	0.3788006263
116	0.3786323277
117	0.3783761188
118	0.3779822837
119	0.377797183
120	0.3775363865
121	0.3773074606
122	0.3769689926
123	0.3766862999
124	0.3763666262
125	0.376072532
126	0.3757970761
127	0.3753766276
128	0.3749218857
129	0.3746000327
130	0.3744464966
131	0.3741968309
132	0.3740156613
133	0.3736802728
134	0.3733774009
135	0.3730636715
136	0.3727904489
137	0.3725451772
138	0.3723404867
139	0.3721139389
140	0.3718761712
141	0.3716348231
142	0.371271238
143	0.3709913485
144	0.3707222902
145	0.3704904481
146	0.3702579327
147	0.370074416
148	0.3698294075
149	0.3695878754
150	0.3693180711
151	0.3690845053
152	0.3688520271
153	0.3685569647
154	0.3682992461
155	0.3680797947
156	0.367784876
157	0.3676348387
158	0.367408237
159	0.3671171241
160	0.3668402538
161	0.3666445581
162	0.3664348523
163	0.3662142934
